pctl,delta60,delta15,mult,gap
0,99.99975,99.99975,1,4.461837e-06
0.5,89.5675,97.50977,1.088674,7.942265
1,84.12476,95.56821,1.13603,11.44346
1.5,79.57278,93.71188,1.177688,14.1391
2,75.10145,91.87846,1.223391,16.77701
2.5,72.50347,90.19107,1.243955,17.68759
3,69.27192,88.39328,1.276033,19.12137
3.5,66.37566,86.70663,1.306302,20.33097
4,64.52946,85.07256,1.318352,20.5431
4.5,61.91905,83.29297,1.345191,21.37392
5,59.56507,81.67708,1.371225,22.11201
5.5,58.31465,80.07465,1.373148,21.76
6,56.39159,78.56018,1.393119,22.16859
6.5,54.18015,76.90916,1.419508,22.72901
7,52.64439,75.40491,1.432344,22.76051
7.5,51.55478,73.72573,1.430046,22.17095
8,50.10196,72.2743,1.442544,22.17234
8.5,48.38739,70.63549,1.459791,22.2481
9,46.83058,69.22841,1.478274,22.39783
9.5,45.91268,67.68055,1.474115,21.76787
10,44.84564,66.43942,1.481514,21.59378
10.5,43.59801,64.74903,1.485137,21.15102
11,42.23472,63.55574,1.504822,21.32102
11.5,40.98633,62.04626,1.513828,21.05992
12,40.09405,60.76077,1.515456,20.66673
12.5,39.27912,59.3821,1.511798,20.10298
13,38.25849,58.09712,1.518542,19.83862
13.5,37.15899,56.58065,1.522664,19.42166
14,36.02068,55.56951,1.542711,19.54883
14.5,35.03556,54.20579,1.547165,19.17023
15,34.35861,52.9066,1.539835,18.54799
15.5,33.64945,51.70683,1.536633,18.05739
16,32.77441,50.16196,1.530522,17.38756
16.5,31.86538,49.2617,1.545932,17.39632
17,30.9348,47.93162,1.54944,16.99682
17.5,30.01486,46.48542,1.548747,16.47056
18,29.30545,45.50418,1.552755,16.19873
18.5,28.71879,44.50574,1.549708,15.78695
19,27.98959,43.24842,1.545161,15.25882
19.5,27.20713,42.01003,1.544082,14.8029
20,26.37521,40.61939,1.54006,14.24419
20.5,25.59021,39.66132,1.549863,14.07112
21,24.88257,38.75558,1.55754,13.87301
21.5,24.28957,37.59543,1.547802,13.30586
22,23.68795,36.55613,1.543238,12.86819
22.5,23.03382,35.73735,1.551516,12.70353
23,22.30006,35.38876,1.586936,13.0887
23.5,21.60358,34.95022,1.617797,13.34664
24,20.93601,34.35046,1.640735,13.41444
24.5,20.33744,33.82371,1.663125,13.48627
25,19.81647,33.17885,1.674307,13.36238
25.5,19.29195,32.48739,1.683987,13.19544
26,18.71519,31.80042,1.699177,13.08523
26.5,18.0981,31.19419,1.723617,13.09609
27,17.46274,30.47433,1.745105,13.01158
27.5,16.86619,29.76368,1.764695,12.89749
28,16.31961,29.00969,1.777597,12.69008
28.5,15.84278,28.2988,1.786227,12.45602
29,15.35859,27.57346,1.795312,12.21487
29.5,14.82012,26.81024,1.809043,11.99012
30,14.26974,26.06372,1.826503,11.79398
30.5,13.7437,25.30997,1.841569,11.56627
31,13.21893,24.58837,1.860088,11.36944
31.5,12.73956,23.84434,1.871677,11.10478
32,12.28581,23.12323,1.882109,10.83743
32.5,11.79629,22.39739,1.898681,10.6011
33,11.31616,21.69298,1.916991,10.37682
33.5,10.78226,20.9046,1.938795,10.12234
34,10.30568,20.21563,1.961601,9.909954
34.5,9.864863,19.5319,1.979947,9.667041
35,9.450678,18.97924,2.008241,9.528561
35.5,9.022036,18.44601,2.044551,9.423973
36,8.578175,18.05182,2.104389,9.473643
36.5,8.115799,17.79691,2.192873,9.681115
37,7.680055,17.3793,2.262914,9.699246
37.5,7.268914,16.9131,2.326771,9.644185
38,6.876794,16.44316,2.391108,9.566364
38.5,6.457029,16.02829,2.4823,9.571257
39,6.047663,15.51972,2.566235,9.472062
39.5,5.617752,15.01166,2.672183,9.393909
40,5.225126,14.52079,2.779032,9.295665
40.5,4.851015,14.03366,2.892932,9.182643
41,4.463208,13.48274,3.020863,9.01953
41.5,4.069313,12.98614,3.191235,8.916823
42,3.675926,12.48879,3.397453,8.812861
42.5,3.295221,11.91619,3.616204,8.620968
43,2.930494,11.42432,3.898429,8.493827
43.5,2.567543,10.91476,4.251054,8.34722
44,2.208396,10.38253,4.701389,8.174134
44.5,1.869541,9.918321,5.305219,8.048781
45,1.52688,9.452119,6.190478,7.925239
45.5,1.187263,9.068642,7.638273,7.881379
46,0.8577922,8.757176,10.20897,7.899384
46.5,0.5382126,8.429016,15.66113,7.890803
47,0.2280175,8.070954,35.39621,7.842937
47.5,-0.06137957,7.648856,-124.6157,7.710235
48,-0.3479866,7.250927,-20.8368,7.598914
48.5,-0.6518409,6.812881,-10.45176,7.464722
49,-0.9554415,6.414454,-6.713602,7.369895
49.5,-1.267412,5.973667,-4.71328,7.241079
50,-1.571266,5.557051,-3.53667,7.128317
50.5,-1.898201,5.126231,-2.700573,7.024432
51,-2.224629,4.743751,-2.132378,6.96838
51.5,-2.54015,4.329376,-1.704378,6.869527
52,-2.872665,4.019406,-1.39919,6.892071
52.5,-3.190977,3.69573,-1.158181,6.886707
53,-3.528311,3.345892,-0.9482985,6.874202
53.5,-3.860318,2.992565,-0.7752119,6.852883
54,-4.195877,2.598124,-0.6192089,6.794001
54.5,-4.542849,2.281675,-0.5022564,6.824524
55,-4.890075,1.915391,-0.3916895,6.805466
55.5,-5.22538,1.610154,-0.3081411,6.835534
56,-5.584526,1.287974,-0.2306326,6.8725
56.5,-5.940883,0.985229,-0.1658388,6.926112
57,-6.298508,0.636138,-0.1009982,6.934646
57.5,-6.655879,0.3465993,-0.05207416,7.002478
58,-7.0272,0.07176175,-0.010212,7.098962
58.5,-7.402072,-0.2710999,0.03662487,7.130972
59,-7.75716,-0.7196109,0.09276731,7.037549
59.5,-8.121887,-1.168122,0.143824,6.953765
60,-8.513752,-1.622613,0.1905873,6.891139
60.5,-8.899277,-2.114729,0.2376293,6.784548
61,-9.265018,-2.565732,0.2769268,6.699286
61.5,-9.631266,-3.064825,0.3182162,6.566441
62,-10.03962,-3.586343,0.3572191,6.453274
62.5,-10.44543,-4.078958,0.3905016,6.366475
63,-10.84947,-4.627138,0.426485,6.222335
63.5,-11.21344,-5.160118,0.4601727,6.05332
64,-11.62712,-5.710043,0.4910971,5.917074
64.5,-12.08214,-6.292609,0.5208192,5.789528
65,-12.50418,-6.818612,0.5453064,5.685573
65.5,-12.9029,-7.358071,0.570265,5.544827
66,-13.26991,-7.937149,0.5981314,5.332759
66.5,-13.72036,-8.558336,0.623769,5.162026
67,-14.16245,-9.13268,0.6448518,5.029768
67.5,-14.60073,-9.711508,0.6651386,4.889221
68,-15.01415,-10.34864,0.6892592,4.66551
68.5,-15.42732,-10.96584,0.7108066,4.46148
69,-15.89655,-11.59949,0.7296861,4.297058
69.5,-16.35385,-12.22915,0.7477841,4.124701
70,-16.79771,-12.88298,0.7669484,3.914733
70.5,-17.2299,-13.51139,0.7841826,3.718512
71,-17.66362,-14.1408,0.8005609,3.522817
71.5,-18.14527,-14.79139,0.8151651,3.353879
72,-18.6287,-15.46017,0.8299115,3.168527
72.5,-19.10122,-16.10777,0.843285,2.993448
73,-19.55269,-16.77157,0.8577627,2.781122
73.5,-20.03003,-17.42415,0.8699014,2.605879
74,-20.56444,-18.10813,0.8805556,2.456307
74.5,-21.10646,-18.76196,0.8889205,2.344495
75,-21.6122,-19.48157,0.9014153,2.130632
75.5,-22.07179,-20.19894,0.9151474,1.872849
76,-22.58895,-20.89388,0.9249603,1.695067
76.5,-23.16166,-21.58384,0.9318781,1.577815
77,-23.70849,-22.29847,0.9405266,1.410024
77.5,-24.22413,-23.00064,0.9494928,1.223494
78,-24.73825,-23.76286,0.9605715,0.9753918
78.5,-25.31654,-24.50689,0.968019,0.8096488
79,-25.91714,-25.27708,0.9753035,0.6400626
79.5,-26.47818,-25.98872,0.9815144,0.4894649
80,-27.01437,-26.76016,0.9905898,0.2542096
80.5,-27.59265,-27.50842,0.9969474,0.08423067
81,-28.23866,-28.25968,1.000744,-0.02101787
81.5,-28.86387,-29.06251,1.006882,-0.1986432
82,-29.43632,-29.85737,1.014304,-0.421051
82.5,-30.08411,-30.62333,1.017924,-0.5392253
83,-30.80062,-31.43962,1.020746,-0.6389975
83.5,-31.47605,-32.21629,1.023518,-0.7402401
84,-32.10633,-33.0109,1.028174,-0.90457
84.5,-32.82716,-33.83442,1.030684,-1.007256
85,-33.56144,-34.66716,1.032946,-1.10572
85.5,-34.26679,-35.49964,1.035978,-1.232848
86,-35.01527,-36.30895,1.036946,-1.293685
86.5,-35.79596,-37.1995,1.03921,-1.403542
87,-36.53961,-38.09154,1.042472,-1.551923
87.5,-37.33146,-39.02269,1.045303,-1.691235
88,-38.15755,-39.92096,1.046214,-1.763415
88.5,-38.92758,-40.94905,1.051929,-2.021467
89,-39.77979,-41.96592,1.054956,-2.186129
89.5,-40.73143,-43.00821,1.055897,-2.276781
90,-41.6326,-44.01437,1.057209,-2.381777
90.5,-42.62152,-45.01754,1.056216,-2.396025
91,-43.54728,-45.93275,1.054779,-2.385471
91.5,-44.53646,-46.99871,1.055286,-2.462257
92,-45.57357,-48.27049,1.059177,-2.696923
92.5,-46.67891,-49.46777,1.059746,-2.788858
93,-47.86085,-50.66529,1.058596,-2.804445
93.5,-49.14145,-51.72153,1.052503,-2.580088
94,-50.39466,-52.52188,1.042211,-2.127222
94.5,-51.76454,-53.16723,1.027098,-1.402699
95,-53.23333,-55.10779,1.035212,-1.874458
95.5,-54.77416,-57.09121,1.042302,-2.317043
96,-56.41543,-58.91665,1.044336,-2.501214
96.5,-58.22055,-60.4969,1.039099,-2.27635
97,-60.19484,-62.98987,1.046433,-2.795032
97.5,-62.36469,-65.10984,1.044018,-2.745149
98,-64.84371,-67.70746,1.044164,-2.863751
98.5,-67.75797,-70.07062,1.034131,-2.312644
99,-71.50086,-73.79326,1.032061,-2.292399
99.5,-76.85534,-78.89532,1.026543,-2.039981
