pctl,diff60,diff15,mult,gap
0,68.19,88,1.290512,19.81
0.5,21.4,22.38,1.045794,0.98
1,18.19,18.39,1.010995,0.2
1.5,16.39,16,0.976205,-0.39
2,15,14.4,0.96,-0.6
2.5,14,13.59,0.9707143,-0.41
3,13.19,12.78,0.9689158,-0.41
3.5,12.4,11.99,0.9669355,-0.41
4,11.8,11.19,0.9483051,-0.61
4.5,11.2,10.4,0.9285714,-0.8
5,10.8,9.6,0.8888889,-1.2
5.5,10.4,9.59,0.9221154,-0.81
6,10,8.8,0.88,-1.2
6.5,9.6,8.79,0.915625,-0.81
7,9.2,,,
7.5,9,8,0.8888889,-1
8,8.6,7.2,0.8372093,-1.4
8.5,8.4,7.2,0.8571429,-1.2
9,8.19,7.19,0.8778999,-1
9.5,7.8,6.4,0.8205128,-1.4
10,7.6,6.4,0.8421053,-1.2
10.5,7.4,6.39,0.8635135,-1.01
11,7.2,5.6,0.7777778,-1.6
11.5,7,5.6,0.8,-1.4
12,6.8,,,
12.5,6.6,5.6,0.8484848,-1
13,6.4,5.59,0.8734375,-0.81
13.5,6.2,,,
14,6.19,4.8,0.7754443,-1.39
14.5,6,,,
15,5.8,,,
15.5,5.6,4.8,0.8571429,-0.8
16,5.59,4.79,0.8568873,-0.8
16.5,5.4,4.79,0.887037,-0.61
17,5.2,,,
17.5,5.19,,,
18,5,,,
18.5,4.8,,,
19,4.8,,,
19.5,4.6,,,
20,4.4,,,
20.5,4.4,4,0.9090909,-0.4
21.5,4.2,3.99,0.95,-0.21
22.5,4,,,
23,3.8,3.2,0.8421053,-0.6
23.5,3.8,3.2,0.8421053,-0.6
24,3.6,3.19,0.8861111,-0.41
24.5,3.6,3.19,0.8861111,-0.41
25.5,3.4,2.4,0.7058824,-1
26,3.4,2.4,0.7058824,-1
26.5,3.2,2.39,0.746875,-0.81
27,3.2,1.6,0.5,-1.6
28,3,1.59,0.53,-1.41
28.5,2.99,,,
29.5,2.8,,,
30,2.6,,,
30.5,2.6,,,
31,2.6,,,
32,2.4,,,
32.5,2.4,,,
34,2.2,,,
34.5,2.19,,,
36,2,,,
36.5,1.8,,,
37.5,1.8,,,
38,1.6,,,
38.5,1.6,,,
39.5,1.6,,,
40.5,1.4,,,
41,1.4,,,
41.5,1.4,,,
42,1.2,,,
44,1.2,,,
44.5,1.2,,,
45,1.19,,,
49.5,1,,,
50,0.8,,,
50.5,0.8,,,
52.5,0.8,,,
53,0.6,,,
53.5,0.6,,,
54.5,0.59,,,
55,0.4,,,
55.5,0.4,,,
56.5,0.2,,,
